VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4BZ1BV6M,b'King',Bothell,WA,98011.0,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1.0,241691908,POINT (-122.20578 47.762405),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804.0
KNDC3DLC3N,b'King',Federal Way,WA,98023.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,30.0,219868820,POINT (-122.363215 47.3084),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030310.0
JTMFB3FV0M,b'King',Kirkland,WA,98033.0,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,48.0,193058785,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022604.0
WAUTPBFF7J,b'King',Burien,WA,98146.0,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,34.0,202976644,POINT (-122.355145 47.505655),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700.0
7SAXCBE68N,b'King',Auburn,WA,98092.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,47.0,219000323,POINT (-122.1820969 47.3198995),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602.0
7SAXCBE51N,b'King',Newcastle,WA,98056.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,192222586,POINT (-122.180505 47.500055),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024703.0
7SAXCBE62N,b'Snohomish',Edmonds,WA,98026.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,216743649,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061042004.0
5YJSA1H27F,b'King',Kirkland,WA,98033.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,48.0,223513727,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603.0
1FADP5CU7D,b'King',Kirkland,WA,98033.0,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,45.0,181331874,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603.0
KNDCD3LD7N,b'King',Seattle,WA,98115.0,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,46.0,180026136,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000.0
1G1RB6E43D,b'Thurston',Olympia,WA,98506.0,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22.0,129060564,POINT (-122.8874781 47.0519573),PUGET SOUND ENERGY INC,53067010200.0
3C3CFFGE3H,b'King',Seattle,WA,98119.0,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,36.0,126065327,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005901.0
7SAYGDEE9N,b'King',Seattle,WA,98177.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,220730401,POINT (-122.382425 47.77279),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400.0
LPSED3KAXN,b'King',North Bend,WA,98045.0,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,208015356,POINT (-121.7814012 47.4935316),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032704.0
5UXTA6C09N,b'King',Kirkland,WA,98033.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,45.0,178972811,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402.0
KNDC4DLC5P,b'Snohomish',Bothell,WA,98012.0,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,249770370,POINT (-122.1876761 47.820517),PUGET SOUND ENERGY INC,53061041704.0
KM8KRDAF9P,b'King',Seattle,WA,98107.0,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43.0,236508002,POINT (-122.378895 47.66905),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800.0
5YJYGDEF2M,b'King',Seattle,WA,98117.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,175293093,POINT (-122.37275 47.68968),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702.0
YV4BR0DK4L,b'King',Seattle,WA,98104.0,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,43.0,205857627,POINT (-122.329075 47.6018),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008300.0
